idx,preproc_loops,python_loops,lean_loops,preproc_success,python_success,lean_success
0697,0,1,1,True,True,True
0698,0,0,0,True,True,True
0699,0,0,1,True,True,True
0700,0,2,2,True,True,True
0701,2,1,1,True,True,True
0702,0,1,0,True,True,True
0703,6,0,1,True,True,True
0704,2,0,1,True,True,True
0705,0,1,0,True,True,True
0706,0,0,1,True,True,True
0707,1,3,2,True,True,True
0708,0,1,0,True,True,True
0709,0,0,0,True,True,True
0710,3,2,2,True,True,True
0711,0,3,0,True,True,True
0712,0,1,1,True,True,True
0713,1,1,1,True,True,True
0714,1,3,2,True,True,True
0715,1,1,1,True,True,True
0716,0,1,4,True,True,True
0717,0,0,0,True,True,True
0718,0,1,3,True,True,True
0719,0,0,0,True,True,True
0720,1,1,0,True,True,True
0721,0,0,0,True,True,True
0722,2,2,0,True,True,True
0723,0,1,4,True,True,True
0724,0,2,0,True,True,True
0725,0,1,1,True,True,True
0726,0,0,4,True,True,True
0727,0,1,1,True,True,True
0728,0,0,3,True,True,True
0729,0,1,2,True,True,True
0730,0,0,3,True,True,True
0731,0,2,1,True,True,True
0732,0,1,0,True,True,True
0733,0,1,2,True,True,True
0734,1,0,3,True,True,True
0735,0,0,0,True,True,True
0736,3,0,1,True,True,True
0737,0,1,1,True,True,True
0738,4,1,0,True,True,True
0739,4,1,1,True,True,True
0740,1,1,1,True,True,True
0741,2,1,1,True,True,True
0742,0,1,0,True,True,True
0743,0,1,0,True,True,True
0744,0,2,1,True,True,True
0745,0,3,1,True,True,True
0746,0,0,0,True,True,True
0747,0,1,2,True,True,True
0748,0,1,1,True,True,True
0749,0,2,2,True,True,True
0750,0,0,0,True,True,True
0751,0,1,3,True,True,True
0752,0,3,0,True,True,True
0753,1,1,0,True,True,True
0754,0,0,1,True,True,True
0755,2,2,1,True,True,True
0756,0,1,0,True,True,True
0757,0,0,0,True,True,True
0758,3,0,1,True,True,True
0759,4,2,0,True,True,True
0760,0,0,2,True,True,True
0761,0,1,0,True,True,True
0762,0,1,1,True,True,True
0763,0,2,1,True,True,True
0764,0,1,0,True,True,True
0765,1,0,0,True,True,True
0766,0,0,1,True,True,True
0767,2,0,1,True,True,True
0768,0,1,0,True,True,True
0769,0,1,0,True,True,True
0770,0,0,1,True,True,True
0771,0,1,0,True,True,True
0772,0,1,3,True,True,True
0773,0,2,1,True,True,True
0774,0,0,4,True,True,True
0775,2,1,4,True,True,True
0776,3,1,0,True,True,True
0777,0,1,2,True,True,True
0778,0,1,1,True,True,True
0779,4,1,1,True,True,True
0780,0,0,0,True,True,True
0781,0,1,0,True,True,True
0782,0,1,2,True,True,True
0783,1,1,5,True,True,False
0784,4,1,2,True,True,True
0785,0,0,1,True,True,True
0786,0,1,0,True,True,True
0787,0,1,1,True,True,True
0788,0,1,0,True,True,True
0789,2,1,0,True,True,True
0790,0,1,1,True,True,True
0791,0,1,1,True,True,True
0792,2,1,0,True,True,True
0793,0,2,2,True,True,True
0794,1,1,0,True,True,True
0795,2,0,1,True,True,True
0796,0,0,2,True,True,True
0797,0,0,1,True,True,True
0798,1,0,2,True,True,True
0799,1,1,1,True,True,True
0800,0,0,1,True,True,True
0801,0,1,1,True,True,True
0802,0,1,1,True,True,True
0803,0,0,5,True,True,True
0804,0,1,0,True,True,True
0805,1,1,0,True,True,True
0806,5,0,1,True,True,True
0807,2,1,1,True,True,True
0808,1,1,0,True,True,True
0809,0,0,3,True,True,True
0810,0,0,2,True,True,True
0811,7,0,2,True,True,True
0812,0,1,1,True,True,True
0813,0,1,1,True,True,True
0814,0,0,0,True,True,True
0815,0,4,0,True,True,True
0816,0,5,0,True,True,True
0817,0,0,0,True,True,True
0818,0,3,0,True,True,True
0819,0,0,0,True,True,True
0820,0,1,1,True,True,True
0821,0,1,3,True,True,True
0822,0,1,4,True,True,True
0823,0,0,0,True,True,True
0824,0,1,0,True,True,True
0825,0,1,0,True,True,True
0826,0,1,0,True,True,True
0827,0,1,1,True,True,True
0828,0,0,4,True,True,True
0829,0,0,3,True,True,True
0830,3,1,1,True,True,True
0831,0,1,2,True,True,True
0832,0,1,1,True,True,True
0833,0,1,3,True,True,True
0834,0,0,5,True,True,False
0835,0,0,0,True,True,True
0836,0,1,2,True,True,True
0837,0,0,0,True,True,True
0838,0,0,2,True,True,True
0839,0,0,1,True,True,True
0840,0,2,1,True,True,True
0841,1,2,0,True,True,True
0842,5,1,3,True,True,True
0843,0,2,1,True,True,True
0844,0,0,1,True,True,True
0845,2,1,0,True,True,True
0846,5,1,0,True,True,True
0847,0,1,0,True,True,True
0848,2,0,2,True,True,True
0849,0,0,0,True,True,True
0850,1,1,1,True,True,True
0851,2,1,1,True,True,True
0852,0,0,1,True,True,True
0853,0,5,0,True,False,False
0854,0,0,2,True,True,True
0855,0,0,0,True,True,True
0856,0,0,3,True,True,True
0857,0,2,3,True,True,True
0858,0,1,0,True,True,True
0859,1,1,0,True,True,True
0860,0,1,3,True,True,True
0861,0,1,0,True,True,True
0862,2,0,0,True,True,True
0863,1,1,1,True,True,True
0864,0,1,1,True,True,True
0865,0,0,0,True,True,True
0866,1,0,5,True,True,False
0867,0,5,0,True,False,False
0868,4,0,1,True,True,True
0869,0,0,1,True,True,True
0870,0,1,0,True,True,True
0871,0,1,1,True,True,True
0872,0,0,0,True,True,True
0873,0,0,0,True,True,True
0874,1,0,2,True,True,True
0875,0,0,1,True,True,True
0876,0,1,1,True,True,True
0877,0,0,1,True,True,True
0878,10,0,0,False,False,False
0879,0,0,0,True,True,True
0880,0,1,3,True,True,True
0881,0,0,1,True,True,True
0882,0,0,1,True,True,True
0883,3,0,1,True,True,True
0884,5,1,0,True,True,True
0885,0,0,0,True,True,True
0886,1,1,1,True,True,True
0887,0,2,0,True,True,True
0888,0,0,1,True,True,True
0889,0,0,1,True,True,True
0890,0,2,0,True,True,True
0891,3,0,0,True,True,True
0892,6,0,2,True,True,True
0893,3,0,3,True,True,True
0894,0,2,1,True,True,True
0895,1,0,2,True,True,True
0896,0,1,1,True,True,True
0897,0,1,0,True,True,True
0898,0,1,0,True,True,True
0899,0,1,1,True,True,True
0900,0,1,0,True,True,True
0901,0,0,1,True,True,True
0902,0,1,0,True,True,True
0903,3,3,2,True,True,True
0904,0,1,2,True,True,True
0905,0,1,0,True,True,True
0906,0,4,1,True,True,True
0907,0,1,2,True,True,True
0908,0,1,0,True,True,True
0909,0,2,0,True,True,True
0910,6,0,2,True,True,True
0911,0,1,0,True,True,True
0912,1,2,1,True,True,True
0913,3,1,5,True,True,True
0914,10,0,0,False,False,False
0915,0,0,1,True,True,True
0916,0,1,0,True,True,True
0917,0,0,2,True,True,True
0918,0,0,2,True,True,True
0919,0,1,0,True,True,True
0920,0,1,3,True,True,True
0921,6,0,0,True,True,True
0922,0,1,1,True,True,True
0923,0,1,0,True,True,True
0924,1,1,2,True,True,True
0925,1,0,1,True,True,True
